date,dateymd,status,Total,Andaman & Nicobar Island,Andhra Pradesh,Arunanchal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Daman & Diu,NCT of Delhi,Dadara & Nagar Havelli,Goa,Gujarat,Himachal Pradesh,Haryana,Jharkhand,Jammu & Kashmir,Karnataka,Kerala,Lakshadweep,Maharashtra,Meghalaya,Manipur,Madhya Pradesh,Mizoram,Nagaland,Odisha,Punjab,Puducherry,Rajasthan,Sikkim,Telangana,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
27-May-20,2020-05-27,Confirmed,7246,0,134,0,101,68,1,4,0,792,0,1,376,26,76,7,162,135,40,0,2190,0,5,237,0,5,76,33,0,280,0,107,817,10,267,69,183
28-May-20,2020-05-28,Confirmed,7254,0,128,1,97,149,10,34,0,1024,0,1,367,8,123,6,115,115,85,0,2598,1,11,192,0,9,67,19,4,251,0,117,827,2,179,31,344
29-May-20,2020-05-29,Confirmed,8138,0,85,0,177,174,0,17,0,1105,0,0,372,14,217,82,128,248,62,0,2682,6,4,192,0,7,63,39,4,298,0,169,874,10,275,216,277
30-May-20,2020-05-30,Confirmed,8364,0,131,1,159,206,0,32,0,1163,0,1,412,18,202,73,177,141,58,0,2940,0,1,246,0,11,96,36,0,252,0,74,938,17,256,33,317
31-May-20,2020-05-31,Confirmed,8789,0,110,0,123,242,4,51,0,1295,0,1,438,18,168,41,105,299,61,0,2487,0,11,198,0,7,129,30,13,214,0,199,1149,45,374,158,371
01-Jun-20,2020-06-01,Confirmed,7723,0,105,18,146,138,4,49,0,990,1,2,423,9,265,26,155,187,57,0,2358,1,12,194,0,0,156,38,9,269,0,94,1162,107,286,52,271
02-Jun-20,2020-06-02,Confirmed,8812,0,115,2,74,151,4,15,0,1298,0,6,415,5,296,61,117,388,86,0,2287,2,6,137,12,6,141,41,0,273,0,99,1091,48,368,84,396
03-Jun-20,2020-06-03,Confirmed,9689,0,180,10,271,230,0,64,0,1513,8,47,485,14,302,42,139,267,82,0,2560,3,19,168,1,9,143,34,11,279,1,129,1286,151,141,42,340
04-Jun-20,2020-06-04,Confirmed,9847,0,141,5,285,126,1,147,0,1359,3,40,492,24,327,63,285,257,94,0,2933,0,16,174,3,22,90,39,9,210,0,127,1384,24,367,68,368
05-Jun-20,2020-06-05,Confirmed,9472,0,138,4,128,146,7,90,0,1330,0,30,510,10,316,95,182,515,111,0,2436,0,8,234,7,27,130,46,5,222,1,143,1438,48,496,62,427
06-Jun-20,2020-06-06,Confirmed,10408,0,210,2,230,233,3,60,0,1320,5,71,498,7,355,106,143,378,108,0,2739,0,25,232,0,0,173,54,3,253,4,206,1458,55,370,88,435
07-Jun-20,2020-06-07,Confirmed,10882,0,199,3,208,239,2,150,0,1282,1,33,480,11,496,75,620,239,107,0,3007,3,15,173,10,9,75,93,12,262,0,154,1515,53,433,52,449
08-Jun-20,2020-06-08,Confirmed,8536,0,154,6,154,177,6,124,0,1007,2,30,477,10,406,187,198,308,91,0,2554,3,100,237,8,6,138,55,9,277,0,92,1562,38,411,56,426
09-Jun-20,2020-06-09,Confirmed,9981,1,69,0,215,208,6,14,0,1366,2,29,470,16,355,126,61,161,91,0,2258,4,32,211,46,5,146,56,4,369,6,178,1685,26,388,126,372
10-Jun-20,2020-06-10,Confirmed,11156,1,365,4,235,243,2,51,0,1501,5,28,510,14,370,135,161,120,65,0,3254,1,7,200,5,1,110,86,12,355,0,191,1927,31,275,25,343
11-Jun-20,2020-06-11,Confirmed,11135,3,182,6,145,250,4,136,0,1877,1,30,513,19,389,48,67,204,83,0,3607,0,55,192,9,2,136,82,13,238,0,209,1875,25,478,93,440
12-Jun-20,2020-06-12,Confirmed,11306,0,207,19,263,148,13,47,0,2137,0,46,495,16,366,57,156,271,78,0,3493,0,19,202,2,26,112,99,6,230,50,164,1982,41,528,69,476
13-Jun-20,2020-06-13,Confirmed,12039,0,222,5,207,193,5,105,0,2134,5,60,517,16,415,55,148,308,85,0,3427,0,64,198,6,7,225,77,13,333,0,253,1989,83,502,61,454
14-Jun-20,2020-06-14,Confirmed,11405,2,294,3,218,186,2,121,0,2224,4,41,511,16,459,52,163,176,54,0,3390,0,9,161,2,10,186,77,18,293,5,237,1974,33,497,34,389
15-Jun-20,2020-06-15,Confirmed,10032,1,304,4,191,187,5,44,0,1647,0,28,514,38,514,30,179,213,82,0,2786,0,32,133,5,4,146,127,8,287,0,219,1843,10,476,26,407
16-Jun-20,2020-06-16,Confirmed,11086,3,264,4,201,148,8,69,0,1859,15,37,524,4,550,46,78,317,79,0,2701,0,10,148,4,2,108,104,14,235,0,213,1515,1,507,97,415
17-Jun-20,2020-06-17,Confirmed,13108,0,351,4,184,130,5,80,0,2414,5,27,520,25,560,57,108,204,75,0,3307,-1,52,161,0,14,175,126,29,326,2,269,2174,43,583,81,391
18-Jun-20,2020-06-18,Confirmed,13829,1,425,0,209,100,4,82,0,2877,4,49,510,10,386,23,149,210,97,0,3752,0,54,182,9,0,174,118,26,315,0,352,2141,21,604,80,435
19-Jun-20,2020-06-19,Confirmed,14638,2,465,32,0,250,7,72,0,3137,14,20,540,32,525,42,125,337,118,0,3827,0,75,156,0,5,165,217,16,299,0,499,2115,27,809,74,355
20-Jun-20,2020-06-20,Confirmed,15918,0,491,0,249,213,23,116,0,3630,17,29,539,29,480,63,154,416,127,0,3874,0,96,142,10,3,179,120,51,381,0,546,2396,8,541,124,441
21-Jun-20,2020-06-21,Confirmed,15151,1,477,4,332,162,2,121,0,3000,5,64,580,17,412,74,122,453,133,0,3870,0,64,179,1,10,304,122,28,393,8,730,2532,35,596,43,414
22-Jun-20,2020-06-22,Confirmed,13560,0,443,9,267,228,5,47,0,2909,15,46,563,54,390,42,132,249,138,0,3721,2,57,175,1,69,143,161,17,302,0,872,2710,16,591,58,413
23-Jun-20,2020-06-23,Confirmed,15656,2,462,10,203,157,7,83,0,3947,9,45,549,48,495,53,148,322,141,0,3214,1,23,183,0,50,167,162,19,395,1,879,2516,23,571,133,370
24-Jun-20,2020-06-24,Confirmed,16868,6,497,2,226,223,2,34,0,3788,13,42,572,31,490,26,186,397,152,0,3889,0,49,187,3,17,282,230,59,382,4,891,2865,0,664,88,445
25-Jun-20,2020-06-25,Confirmed,18205,2,553,12,364,215,3,37,0,3390,20,44,577,33,453,44,127,442,123,0,4842,0,86,147,0,8,210,142,41,287,2,920,3509,32,636,68,475
